id,Fastening,Waist/Waistline,Detail,Material,Color/Print/Pattern,Design/Silhouette,Leg Style,Finish/Effect
20784860,pull-on,elasticated drawstring waistband,logo tag,silk,"black/multicolour, all-over floral print, all-over logo print",wide leg,palazzo,None
20205739,elasticated waistband,high waist,embroidered logo,cotton blend,"black, off-white",flared,None,velvet
17190831,elasticated,waistband,"side stripe detailing, check pattern, rear welt pocket, ribbed cuffs",cotton,"Black, Vintage Check",track pants,None,None
20275015,None,logo waistband,crescent moon print,recycled polyamide blend,"black, light beige",stretch-design,None,None
20848800,drawstring fastening,None,logo patch to the front,"organic cotton blend, recycled polyester",black,None,elasticated cuffs,None
19526870,hook and zip fly fastening,mid-rise,keyring attachment,satin weave,black,panelled design,wide leg,stretch-design
18726049,front zip fastening,None,detachable coin purse,cotton,black,flared,flared,None
20793011,None,high-waisted,gold-tone logo plaque,None,"ecru, black",stretch-design,None,all-over logo print
18914643,None,belted waist,frayed detailing,stretch-cotton,sage green,wide-leg,None,None
18701230,elasticated waistband,high-waisted,seam detailing,stretch-design,black,flared,flared,None
19350151,drawstring fastening,mid-rise,ankle zips,cotton blend,ivory white,parachute trousers,straight leg,None
19350707,front button and zip fastening,belt loops,"two side inset pockets, two rear welt pockets",cotton blend,cloud white,cropped leg,wide-leg,None
19620994,drawstring fastening,drawstring-waist,"two side slit pockets, elasticated ankles",organic cotton blend,black,track pants,None,recycled or upcycled materials
20142483,adjustable waist strap,high-waisted,padlock detail,"cotton, virgin wool blend",black,fold-over,tapered leg,silver-tone hardware
18617482,None,mid-rise,elasticated ankles,None,black,tapered leg,tapered leg,None
21235868,front button fastening,high-waisted,pleat detailing,None,coffee brown,None,"wide leg, tapered leg",None
19284655,None,high waist,scallop edge,crochet knit,ecru,straight leg,straight leg,None
19285317,front button-fastening,high-waisted,chain-link detailing,cotton blend,pastel yellow,tailored,flared,None
20472335,concealed front fastening,None,pressed crease,cotton blend,multicolour,tailored,straight leg,None
19527302,None,elasticated waistband,logo patch to the side,cotton,black,tapered leg,None,jersey knit
19413277,concealed side zip fastening,mid-rise,tailored,None,sand beige,wide-leg,wide-leg,None
17749469,concealed front fastening,high waist,belt loops,virgin wool,"Grey, pinstripe pattern",Shield pinstripe trousers,straight leg,None
19644647,None,high-waisted,monogram print,stretch-design,black,slim cut,ankle-length,None
15360149,front zip,internal elasticated,"front zipped pockets, silver tone zip cuffs",technical jersey,black,leggings,None,None
19991732,drawstring fastening,belt loops,"side flap pockets, rear welt pockets, side slit pockets",virgin wool blend,grey,tailored,cropped leg,None
20144171,belted,high-waisted,silver-tone hardware,virgin wool blend,medium grey,asymmetric design,tapered leg,None
19280208,None,elasticated waistband,graphic print to the front,organic cotton,grape,track pants,elasticated ankles,None
20468494,None,high waist,tonal stitching,stretch-jersey,black/white,None,None,all-over logo print
20725241,elasticated waistband,high-waisted,"logo print to the front, elasticated ankles",cotton blend,grey,tapered leg,tapered leg,"terry-cloth effect, glitter detailing"
13375373,elasticated waistband,elasticated waistband,"side pockets, elasticated cuffs",None,classic black,relaxed shape,loose-fitting,None
20726868,None,high-waisted,pleat detailing,velour,electric purple,flared,wide leg,stretch-design
19825542,elasticated drawstring,high waist,two side slit pockets,None,black,palazzo,wide leg,high-shine finish
20273742,concealed fly and button fastening,high waist,belt loops,stretch-design,black,flared design,flared,None
20047886,front button fastening,belt loops,"two side slit pockets, two rear patch pockets",cotton,"black, marbled pattern",straight leg,straight leg,None
20852768,belted,mid-rise,"two side welt pockets, two rear patch pockets, belt loops",cotton,black,straight-leg,straight leg,None
17423203,None,high-waisted,stirrup cuffs,stretch-design,Tan and black all over moon pattern,leggings,None,elasticated waistband
18331651,front button and zip,high-waisted,cut-out detailing,organic cotton,blue,straight-leg,straight-leg,None
20206343,elasticated drawstring,high-waisted,crystal embellishment,cotton,black,straight trousers,straight leg,satin finish
19610958,None,high-waisted,all-over leopard print,stretch-jersey,leopard-print,slim cut,None,None
20205738,elasticated waistband,high waist,side stripe detailing,cotton,cream white,loose-fit,wide leg,pleat detailing
16691607,None,mid-rise,ribbed knit,stretch-design,Ivory-white,leggings,ankle-length,None
20740270,front button fastening,high waist,belt loops,organic cotton,almond beige,wide-leg,flared,None
20251047,hook and zip fly,belt loops,"slip pockets to the sides, rear flap pocket",wool,taupe,tailored-cut,wide-leg,None
16151602,concealed front fastening,high waist,pressed crease,None,Black,flared,None,None
20086579,concealed front fastening,high-waisted,pleat detailing,cotton,ivory white,wide leg,wide-leg,None
18834709,Greca pin hardware,high waist,rolled detail,silk blend,black,flared design,flared,velvet finish
16119582,front button fastening,high waist,two diagonal pockets to the sides,recycled leather,black,straight leg,straight leg,None
20903640,elasticated drawstring,high-waisted,logo print,recycled polyamide,black,track pants,bungee-adjustable cuffs,lightweight construction
19822537,None,high-waisted,crescent moon print,recycled polyamide blend,white/black,stretch-design,None,None
20945851,elasticated,elasticated waistband,logo print to the front,cotton,blue/white,straight hem,None,None
20957597,None,high-waisted,elasticated logo waistband,stretch-design,cobalt blue,super-skinny cut,covers foot,full-length
20112151,side button and zip fastening,None,pleat detailing,satin weave,black,palazzo trousers,wide leg,None
20225157,pull-on,"elasticated waistband, logo waistband","chain-link print, signature Baroccoflage print",None,"black/multicolour, all-over logo print","stretch-design, bodycon design",None,None
18694595,front button and zip fastening,high waist,"seam detailing, leather tag, raw-cut hem",cotton,sky blue,cropped,wide leg,light wash
20849387,front button fastening,mid-rise,raw edge,cotton,sand beige,wide leg,wide-leg,rolled cuffs
20854407,concealed fly and button fastening,high waist,"pleat detailing, embroidered logo to the rear",None,beige,wide leg,wide leg,None
19502794,front button and zip fastening,None,"scarf detailing, turn-up cuffs",stretch-cotton,chalk white,cropped-leg,straight leg,None
20489470,None,high waist,elasticated waistband,stretch-design,black/white,None,None,"all-over logo print, graffiti print"
19908609,front button and zip,high-waisted,pleat detailing,stretch-cotton,khaki,straight-leg trousers,straight leg,None
20233147,front button and zip fastening,mid-rise,logo patch to the rear,stretch-cotton,black,flared,flared,coated finish
19498484,concealed front fastening,mid-rise,"Medusa plaque detail, silver-tone logo plaque",wool,black,flared trousers,flared hem,silver
18499063,concealed rear zip,high waist,panelled design,cotton,black,skinny cut,None,None
19342540,None,contrasting waistband,"logo print to the side, side stripe detailing, exposed-seam detailing",None,"black, beige",flared,None,"stretch-design, lightweight construction"
20843969,None,high-waisted,logo waistband,stretch-design,black,super-skinny cut,None,None
17376309,concealed front fastening,high waist,"dart detailing, detachable belt, belt loops",TENCEL??blend,Beige,tailored,straight leg,POSITIVELY CONSCIOUS
18696975,front button and zip fastening,belt loops,"logo print to the front, logo patch to the rear",cotton,blue,straight-leg,straight leg,washed
16843156,None,high waist,badge detailing,virgin wool,Black,cropped trousers,turn-up cuffs,tonal design
20891684,elasticated waistband with internal drawstring,high-waisted,"reflective detailing, rear zip-fastening pocket",recycled polyester blend,black,super-skinny cut,ankle-length,"logo print to the rear, logo print at the leg"
20987693,front zip fastening,elasticated drawstring waistband,eyelet detailing,None,black,drawstring-waist trousers,None,silver-tone hardware
18666503,elasticated,high-waisted,logo waistband,stretch-design,black,leggings,straight leg,None
19072931,logo-embossed buttons,high waist,gold-tone buttons,None,black,slight flare,None,None
18839190,front button and zip fastening,belt loops,all-over embossed logo print,sheepskin,jet black,None,None,embossed
14943071,elasticated,elasticated waistband,logo print at the leg,cotton,Black,tapered fit,two side slit pockets,None
16140656,None,elasticated,stretch design,None,Black,slim fit,None,None
20198018,concealed front fastening,high waist,"['belt loops', 'pressed crease']",wool blend,black,tailored cut,tapered leg,None
18572789,None,high-waisted,logo waistband,velvet,deep pink,stretch-design,ankle-length,None
17601110,concealed front fastening,None,cut-out detailing,stretch-design,Black,flared,side slits,None
20323807,elasticated waistband,high waist,logo waistband,stretch-design,"fuchsia pink, black",leggings,None,None
18545167,None,logo waistband,tonal stitching,stretch,black/grey,leggings,None,None
18468136,None,elasticated waistband,seam detailing,faux leather,jet black,cropped,cropped leg,high-shine finish
18525424,slip-on,elasticated waistband,two side slit pockets,cotton,beige,slim cut,elasticated ankles,None
17961420,elasticated drawstring,elasticated waistband,Ami de Coeur monogram motif,organic cotton,black,track pants,elasticated ankles,None
17374855,concealed front fastening,high waist,pressed crease,None,Black,tailored cropped trousers,straight leg,None
15643165,None,high waist,elasticated waistband,faux-leather,black,leggings,None,stretch-design
20889077,None,elasticated waistband,contrasting panel detail,stretch-jersey,"black, Vintage Check pattern",leggings,None,None
19723589,None,contrasting waistband,sequin embellishment,None,"black/multicolour, vertical stripe pattern",straight leg,straight leg,sequin-embellished
17328518,front button and zip fastening,high-rise,"belt loops, classic five pockets",washed denim,"Black/grey, all-over logo print",straight-leg,None,None
19592661,concealed front fastening,high waist,belt loops,cotton,white,straight-leg trousers,straight leg,None
18666505,None,high-waisted,logo print to the front,stretch-silk,"black/red, green, floral print",slim cut,None,None
17750097,concealed front fastening,high waist,belt loops,virgin wool,Black,straight-leg trousers,straight leg,None
20474175,elasticated drawstring,elasticated drawstring waistband,logo patch,stretch-cotton denim,light pink,straight leg,straight leg,faded effect
20160891,elasticated waistband,elasticated waistband,logo print to the front,cotton,navy blue,track pants,elasticated ankles,None
20030831,front button and zip fastening,high waist,logo patch to the side,cotton,khaki,wide-leg cargo trousers,wide leg,None
17238857,None,high-waisted,"stripe trim, gold-tone logo plaque",None,Brown leopard-print,"super-skinny cut, stretch-design",None,None
19294310,None,elasticated waistband,"logo patch to the front, rear patch pocket",silk,"bubblegum pink, jacquard logo motif",wide-leg,wide leg,crinkled finish
19499550,button fly fastening,belted waist,"logo patch to the front, logo-engraved buttons, metal eyelet detailing, classic five pockets",cotton blend,black,straight leg trousers,straight leg,None
20945322,asymmetric front button,None,pleat detailing,TENCEL??Lyocell,beige,straight-leg,straight leg,None
20198813,concealed front fastening,low-rise,"pressed crease, silver-tone logo plaque, crystal embellishment, pleat detailing, layered details",wool,black,layered wide-leg trousers,wide leg,None
17045364,front button fastening,elasticated waistband,"lurex detailing, ruffled detailing",None,black,"oversized pointed collar, slim cut, flared",flared hem,None
18715583,concealed front fastening,high waist,cut-out detailing,faux leather,black,None,straight leg,None
19469523,front button and zip fastening,None,two rounded pockets to the sides,leather,black,straight leg,straight leg,polished finish
20207318,None,mid-rise,rhinestone embellishment,stretch-design,black,leggings,None,None
20330286,elasticated drawstring,elasticated,gold-tone logo plaque,wool-cotton blend,jet black,palazzo,wide leg,None
19354689,concealed front fastening,high waist,draped detailing,"cotton, wool blend",dark grey,wide-leg trousers,wide leg,None
20265754,concealed fly and button,mid-rise,"multiple cargo pockets, belt loops, two rear flap pockets, ankle zips","lyocell, cotton blend",navy blue,slim cut,None,satin finish
18114956,concealed front fastening,None,two rear button-fastening jetted pockets,cotton blend,Black,tapered suit trousers,tapered leg,Conscious
20601442,None,mid-rise,logo-embossed,cotton,ivory white,straight leg,None,elasticated ankles
17880850,concealed front fastening,mid-rise,front slit,None,Black,"tailored cut, slim cut",flared,None
17638830,logo waistband,logo waistband,Vintage Check pattern,stretch-design,archive beige,skinny cut,ankle-length,None
20235811,elasticated waistband,high waist,pleat detailing,wool blend,mustard yellow,straight-leg,straight leg,logo plaque
20741222,front button and zip fastening,mid-rise,belt loops,cotton,light beige,cropped-leg,None,None
19246461,None,logo waistband,jacquard,stretch-design,black,leggings,None,None
20129657,drawstring,waist,paisley print,silk,multicolour,straight-leg,straight leg,None
20369647,buckle fastening,high waist,pressed crease,None,cerulean blue,flared,cropped,None
20741809,None,high-waisted,"chain-link detailing, logo charm",None,black,flared trousers,flared,None
19583133,elasticated waistband,elasticated waistband,"['logo print at the leg', 'two side slash pockets', 'rear patch pocket', 'elasticated ankles', 'fleece lining']","['cotton', 'jersey knit']",faded black/white,straight hem,None,None
15436274,None,high waist,None,None,Black,fitted silhouette,leggings,None
20044303,None,logo waistband,zalij pattern print,stretch-design,"['white', 'raspberry pink', 'signature Maiolica print']",ankle-length,None,None
20086682,concealed fly and button fastening,mid-rise,classic five pockets,stretch-cotton,"sesame beige, illustration-style print",flared,flared,corduroy
20009763,internal drawstring,elasticated waistband,"signature 3-Stripes logo, logo print at the leg, panelled design, detachable legs",None,mint green,track pants,detachable legs,None
20982706,concealed front fastening,high waist,belt loops,stretch-cotton,brown,flared trousers,flared,velvet
20893965,concealed fly and button fastening,belt loops,"layered details, contrasting panel detail, pressed crease, rounded pocket to the side","wool, cotton, denim",black/blue,panelled straight-leg,straight leg,light wash
18655304,None,high waist,stretch-design,faux leather,black,slim cut,ankle-length,None
18725757,None,high-waisted,cut-out detailing,None,camouflage print,super-skinny cut,covers foot,None
19927458,rear zip,high-waisted,fitted waistline,stretch,black,flared,wide leg,None
16919483,front button fastening,high waist,belt loops,recycled leather,Powder,'90s Pinch Waist,straight leg,cropped
19131366,elasticated waistband,high waist,ankle zips,cotton,grey,super-skinny cut,straight leg,Conscious
18936444,elasticated drawstring,high waist,drop crotch,cotton,black,slim cut,None,None
19594522,concealed front button fastening,elasticated waistband,pressed crease,virgin wool,asparagus green,straight leg,None,None
20740986,None,high-waisted,cut-out detailing,stretch-design,black,logo-print leggings,straight hem,gold-tone logo plaque
20466457,elasticated waistband,high-waisted,logo waistband,stretch-silk,jet black,straight-leg,straight leg,satin finish
19577179,None,mid-rise,signature zigzag woven design,cotton blend,multicolour,None,wide leg,artisanal nature
18686106,None,high-waisted,cropped,None,black,None,cropped leg,None
19633689,None,None,"logo print to the side, stirrup cuffs",None,silver-tone,stretch-design,Illusion spiral,metallic effect
19321452,None,high waist,logo print to the front,stretch-design,ivory white,flared,split,None
17376312,None,high-waisted,dart detailing,wool-tercel blend,Black,Gelso,wide leg,POSITIVELY CONSCIOUS
19445754,elasticated drawstring,waistband,two side slit pockets,organic linen,black,wide-leg,wide leg,None
20500708,drawstring,high-waisted,feather-trim,None,emerald green,straight leg,straight leg,metallic threading
18083389,elasticated waistband,elasticated waistband,stirrup cuffs,certified recycled or upcycled materials,Black/red crescent moon print,Fuseaux,leggings,None
19975083,concealed front fastening,belt loops,pleat detailing,recycled polyester blend,khaki,tailored,wide leg,None
19998172,elasticated waistband,elasticated,"logo print to the front, side stripe detailing",cotton,black/white,wide-leg track pants,wide leg,None
20186792,pull-on,elasticated waistband,plissé effect,None,green,straight leg,None,plissé-effect
19166660,elasticated drawstring,high waist,all-over graphic print,cotton blend,"ecru, multicolour",palazzo design,wide leg,None
18846624,elasticated waistband,high waist,"patchwork design, classic five pockets","cotton blend, faux leather","light blue, black",two-tone,None,None
19118642,front button and zip fastening,elasticated waistband,"two side inset pockets, two rear welt pockets",virgin wool,dark blue,straight-leg cut,straight-leg,None
20858198,zip fly fastening,low-rise,pleat detailing,recycled polyester-wool blend,black,tailored,straight leg,None
16638326,elasticated,waistband,"two side slit pockets, raw-cut hem",cotton,black,straight-leg,straight leg,raw-cut
20245126,front button and zip fastening,belted waist,pleated edge,cotton,black,straight-leg,straight leg,None
20307671,drawstring,elasticated,None,cotton,milk white,track pants,None,None
18926472,concealed front fastening,high-waisted,rear patch pocket,None,"black/multicolour, all-over floral print",wide-leg trousers,wide leg,None
21349393,concealed front fastening,mid-rise,"['slip pockets to the sides', 'rear welt pocket', 'belt loops']",cotton blend,beige,Le Piccinni,wide leg,None
19800336,concealed front fastening,high-waisted,pleat detailing,None,ivory white,straight leg,straight leg,None
19361778,front button and zip fastening,high-rise,cargo pockets,cotton,ecru,straight leg,straight leg,None
19594524,concealed front fastening,belt loops,pressed crease,virgin wool,navy blue,tailored cut,None,None
19461307,concealed front fastening,high waist,grosgrain ribbon trim,virgin wool,black,None,split cuffs,None
13570051,None,high waist,two rounded pockets to the sides and rear welt pocket,wool,Black,tapered wool joggers,tapered leg,None
20044302,None,high-waisted,logo waistband,stretch-design,"brown, black, all-over leopard print",None,None,None
15387489,drawstring fastening,elasticated waistband,feather-trim detailing,None,Pink,Boudoir,flared,None
17563730,front button and zip fastening,high waist,"belt loops, logo patch to the front, rear welt pocket",None,Black,straight-leg trousers,straight leg,None
17264732,None,logo waistband,logo waistband,stretch-cotton,Black,leggings,None,None
20618119,concealed front fastening,high-waisted,elasticated waistband,goat suede,auburn brown,slim cut,cropped,None
17860494,None,mid-rise,all-over logo print,cotton,Black/white,wide leg,None,None
20463522,button fly fastening,mid-rise,None,wool blend,black,flared trousers,flared,None
20134769,front button fastening,belt loops,logo patch to the rear,"cotton, denim",palm tree print,jeans,classic five pockets,None
18768161,concealed front fastening,high waist,belt loops,wool blend,ash grey,tailored design,tapered leg,pressed crease
19907494,front button and zip fastening,high-waisted,"belt loops, two side inset pockets, two rear welt pockets",TENCEL??olive green,wide leg,wide leg,None,None
19970955,front button and zip fastening,high waist,belt loops,silk,black,tailored design,straight leg,None
15172019,None,high-waist,"side slits, stitched panels",None,Black,slim fit,None,None
20053778,concealed fly and button fastening,None,"ripped detailing, patch detail, logo patch to the rear",stretch-cotton,indigo blue,slim cut,None,washed denim
20893765,concealed front fastening,high waist,pressed crease,virgin wool,black,straight-leg,straight leg,full lining
20208320,elasticated waistband,elasticated waistband,all-over graphic print,cotton,carrot orange,wide-leg,wide-leg,None
20871617,front button and zip fastening,high-waisted,"pleat detailing, D-ring buckle belt, belt loops",wool,ivory white,belted,wide leg,None
18805779,front button and zip fastening,high-waisted,"belt loops, pressed crease, two rear welt pockets",wool,black,tailored,None,None
18734021,concealed front zip fastening,belt loops,"two side slit pockets, two rear welt pockets",None,"deep blue, pinstripe pattern",straight-leg,straight leg,None
19595207,elasticated drawstring,waistband,embroidered logo to the front,cotton,ash grey,track pants,None,None
18929432,None,high waist,all-over graphic print,stretch-cotton,light blue,None,wide leg,None
19226536,None,high waist,high-shine finish,None,black,skinny cut,tapered leg,high-shine finish
19705745,front button and zip,high waist,"belt loops, pressed crease, rear welt pocket, two diagonal pockets","wool, cotton",light green,tailored design,None,None
20406263,elasticated drawstring,waistband,two side inset pockets,silk,multicolour,palazzo trousers,wide leg,None
18853086,concealed front fastening,None,"two diagonal pockets to the sides, two rear welt pockets",cotton-wool blend,jet black,cropped tailored trousers,cropped leg,None
21294433,slip-on style,high-waisted,elasticated waistband,wool,jet black,cropped wide-leg,wide leg,None
20931765,elasticated drawstring,elasticated,logo print,recycled polyamide,light purple,tracksuit bottoms,elasticated ankles,zip-fastening pockets
19844503,front button and zip fastening,belt loops,dotted structure pattern,jersey,black,straight-leg,straight leg,high-shine finish
20205740,elasticated waistband,high waist,"logo print to the front, side stripe detailing",cotton,"black, off-white",loose-fit,None,None
20125395,concealed side zip fastening,belt loops,two side inset pockets,virgin wool blend,midnight blue,tailored-cut,wide leg,None
20954566,None,high-waisted,logo patch to the rear,crushed velvet,blue/white,super-skinny cut,covers foot,stretch-design
19709172,None,high waist,pressed crease,"virgin wool, cotton",bright red,tailored,straight leg,None
21004809,concealed front fastening,high waist,belt loops,None,medium grey,palazzo design,wide leg,None
19770185,None,high waist,elasticated waistband,recycled polyamide blend,"brown, all-over leopard print",leggings,None,None
20086597,elasticated waistband,high-waisted,pintuck detailing,cotton-jersey,ivory white,wide-leg,wide leg,None
20889189,elasticated waistband,elasticated waistband,"jersey texture, washed, two side inset pockets, rear patch pocket",organic cotton,chocolate brown,straight leg,straight leg,washed
18793279,None,high-waisted,logo waistband,technical jersey,black,leggings,None,None
20573945,concealed front fastening,belt loops,pressed crease,wool blend,grey,wide-leg trousers,wide leg,None
20029875,elasticated waistband,None,"side stripe detailing, embroidered logo at the leg, pressed crease",cotton blend,navy blue,"unisex, standard men's sizing",straight leg,None
19715185,None,elasticated waistband,"signature Greca detailing, Medusa Head motif",None,black,leggings,None,None
19130351,belt loops,None,pressed crease,wool,beige,wide-leg,wide-leg,None
20103099,concealed front fastening,None,pleat detailing,virgin wool blend,camel brown,wide-leg trousers,wide leg,None
19792639,front button and zip fastening,belt loops,classic five pockets,organic cotton,white,wide-leg trousers,wide leg,None
20153379,concealed front fastening,high-waisted,pleat detailing,wool-cotton blend,jet black,palazzo design,wide leg,None
18953539,concealed front fastening,high-waisted,elasticated ankles,cotton blend,white/black,wide leg,wide-leg,all-over logo print
16858874,None,high-waisted,monogram print,None,Black,stretch-design,skinny cut,graphic-print
17055861,side zip fastening,high waist,dart detailing,twill,Light blue,wide leg,wide leg,twill weave
20121137,front zip fastening,high waist,cut-out detailing,virgin wool,camel brown,wide leg,wide leg,None
20248726,elasticated,logo waistband,pressed crease,virgin wool,beige,palazzo design,palazzo,None
18909789,front button and zip fastening,mid-rise,classic five pockets,None,black,straight-leg,straight leg,leather effect
19186734,front button and zip,high waist,box-pleat,linen-silk blend,pink,straight-leg trousers,straight leg,Conscious
20153383,concealed front button,high waist,belt loops,None,black,cropped-leg trousers,pressed crease,None
20103097,concealed front fastening,high waist,pleat detailing,None,light blue,wide-leg,wide leg,None
20127205,elasticated drawstring,high waist,None,cotton,midnight blue,straight-leg,straight leg,None
19271126,concealed fly and button fastening,belt loops,"two rear jetted pockets, two front pouch pockets, two side cargo pockets",virgin wool,black,wide-leg,wide leg,None
19072251,drawstring fastening,waist,"rhinestone embellishment, gathered detailing",silk,"all-over floral print, multicolour",straight-leg,straight leg,None
18036084,concealed front fastening,high waist,"two side flap pockets, two rear patch pockets",faux-leather,jet black,straight leg,straight leg,None
19871618,drawstring,drawstring waist,"multiple zip-fastening pockets, multiple cargo pockets",None,dark green,wide-leg tapered,tapered leg,None
19524594,None,mid-rise,elasticated waistband,lightweight jersey,leopard print,stretch-design,None,None
19769096,concealed front fastening,belt loops,"two side inset pockets, two side cargo pockets, two rear flap pockets",cotton,black,wide-leg,wide leg,None
19120131,front button and zip fastening,high waist,distressed finish,cotton,light blue,wide-leg,wide leg,distressed finish
20417583,concealed front fastening,high waist,pressed crease,virgin wool,black,wide leg,wide leg,None
14770096,button and zip fly,high waist,belt loops,leather,black,skinny,slightly cropped,None
20470485,rear zip fastening,high-waisted,embossed gold-tone buttons,None,black,flared,None,None
20478427,None,elasticated waistband,graphic-print,silk,"['polka dot print', 'butterfly print', 'sky blue']",wide leg,wide-leg,None
19669784,slip-on,elasticated waistband,logo print to the side,cotton,black,straight leg,side slits,None
16916946,pull-on,elasticated waistband,rear patch pocket,None,White,wide leg,None,None
20887827,elasticated waistband,elasticated,"two side inset pockets, rear patch pocket",organic cotton,black,wide-leg,wide leg,washed
17231419,None,high waist,"logo stamp to the front, contrasting trim",recycled or upcycled materials,Black,seamless performance shorts,knee-length,stretch-design
19462236,buckle fastening,high waist,"two rear welt pockets, pressed crease",stretch-design,ecru,tailored trousers,straight leg,None
20528480,None,low-rise,embroidered logo,cotton,black,wide leg,None,pressed crease
20046785,elasticated,waistband,two side slash pockets,linen,bubblegum pink,wide leg,wide leg,heavy
20644549,concealed fly and button fastening,high-waisted,Majolica print,stretch-design,"raspberry pink, hot pink, milk white",wide-leg trousers,wide leg,None
19321573,None,high waist,contrasting trim,None,black,flared,None,strap detailing
19848359,concealed fly and button fastening,belt loops,"two front pouch pockets, two rear jetted pockets",at least 50% materials which are certified or widely recognised as having a lower environmental impact,teal green,straight-leg trousers,straight leg,Conscious
19676167,front zip fastening,belt loops,stitched-fold detailing,stretch-cotton,black,cropped,None,None
20314175,concealed front fastening,None,"gold-tone logo plaque, pressed crease",FSC viscose,red,cropped trousers,cropped leg,None
20888455,elasticated,elasticated waistband,"two side slit pockets, rear patch pocket",organic cotton,black,tapered leg,elasticated ankles,washed
