id,Fastening,Waist/Waistline,Detail,Material,Color/Print/Pattern,Design/Silhouette,Leg Style,Finish/Effect
20368094,belted waist,high waist,two side inset pockets,"cotton, denim",white,wide-leg,wide leg,None
20204266,concealed front fastening,high-waisted,"['belt loops', 'two side slash pockets', 'two rear welt pockets', 'pressed crease']",None,poppy red,straight-leg trousers,straight leg,None
16856776,None,elasticated,None,None,khaki green,flared cropped,flared,None
19832301,slip-on,None,tulle panels,jersey,black,stretch-design,stirrup cuffs,None
20086575,concealed front fastening,high-waisted,pleat detailing,cotton,sand beige,wide-leg trousers,wide leg,None
20206324,elasticated waistband,elasticated,crystal embellishment,stretch-jersey,black/multicolour,leggings,None,None
19345249,None,high-waisted,semi-sheer panels,None,black,stretch-design,stirrup cuffs,sheer-panel
19527133,None,mid-rise,all-over graphic print,silk,"black/multicolour, paisley print",straight trousers,straight leg,None
20914253,concealed side zip fastening,high waist,gold-tone logo plaque,satin lining,off-white,flared,flared hem,crepe texture
19061455,concealed fly and button fastening,high waist,asymmetric design,recycled leather,black,straight leg,straight leg,None
21010875,None,elasticated waistband,logo patch to the front,virgin wool blend,black,flared,None,ribbed knit
20475328,elasticated waistband,high waist,"logo-print strap, pleat detailing",None,black,wide leg,cargo,None
20045325,None,high-waisted,logo plaque,None,black,skinny cut,None,patent finish
17070735,None,logo waistband,None,stretch silk,leopard print,straight-leg,straight leg,None
19906626,side press-stud,elasticated drawstring waistband,"side slit pockets, rear welt pockets",None,black,wide leg,wide leg,crinkled finish
18791969,front button and zip fastening,high waist,front slit,virgin wool blend,black,straight leg,cropped,None
20121143,concealed fly and button fastening,mid-rise,belt loops,faux leather,black,straight leg,straight leg,logo-print stripe
20812275,concealed front button fastening,belt loops,"two side slit pockets, two rear welt pockets","cotton, velvet","black/multicolour, patterned jacquard",None,None,None
16695064,None,high waist,panelled design,faux-leather,Black,stretch-design,None,high-shine finish
18815074,concealed front fastening,high-waisted,belt loops,virgin wool blend,black,tailored cut,straight leg,None
19318881,front button and zip fastening,belt loops,multiple cargo pockets,cotton,beige,wide leg,straight hem,logo print at the leg
20229700,elasticated waistband,high waist,chevron-pattern,wool-cashmere blend,black/white,wide trousers,wide leg,knitted construction
20134256,rear button-fastening,elasticated waistband,logo waistband,None,black,high-waisted,straight leg,crinkled finish
19508725,None,logo waistband,logo waistband,stretch-design,black,leggings,None,None
18997359,elasticated waistband,elasticated waistband,logo patch to the front,silk,black,straight leg,flared,jacquard logo motif
19349888,front button and zip,belt loops,"two side inset pockets, two rear welt pockets",cotton blend,dark blue,cropped,wide leg,None
20155850,elasticated drawstring,elasticated waistband,logo patch to the rear,cotton,grey,track pants,elasticated ankles,washed
18838157,None,high-waisted,logo print to the side,recycled polyamide blend,black,cropped,None,stretch-design
20149639,None,"mid-rise, elasticated waistband",all-over graphic print,silk,black,wide-leg,wide leg,None
20647570,elasticated waistband,high-waisted,embroidered logo at the sleeve,ribbed knit,jet black,stretch-design,flared,None
20710937,concealed side zip fastening,high-waisted,gold-tone logo plaque,stretch-design,jet black,straight-leg trousers,straight leg,None
18640712,Elasticated,high waist,Plissé pleats,None,Navy blue,Slim fit,Straight legs,None
16791970,None,high waist,panelled design,None,black,stretch-design,None,None
19590617,None,high-waisted,logo-tape detailing,None,black/white,stretch-design,None,None
18768663,concealed rear zip,high-waisted,layered details,silk,black,skirt trousers with train,train,crepe texture
20068003,concealed front fastening,None,Medusa plaque detail,wool blend,black,tailored,tapered leg,gold-tone hardware
19645752,None,elasticated waistband,monogram print,None,"pink, white",super-skinny cut,None,None
19819118,concealed front fastening,belt loops,None,organic cotton,ecru,tailored cut,carrot shape,None
19481422,elasticated drawstring,high waist,silver-tone stud detailing,silk blend,black,straight-leg,straight leg,crepe texture
21323874,elasticated waistband with internal drawstring,elasticated,logo print to the side,cotton blend,light grey,track pants,None,fleece texture
18925393,concealed front fastening,belt loops,pleat detailing,None,grey,asymmetric design,wide leg,None
19376603,hook and zip fly,high waist,belt loops,cotton,beige,tapered,tapered leg,tonal patterning
20274702,elasticated waistband,high waist,ribbed knit,None,black,flared design,flared,None
19990629,drawstring,drawstring fastening waist,multiple cargo pockets,cotton,grey,cargo trousers,drawstring cuffs,None
20031436,elasticated,elasticated waistband,logo print at the leg,cotton blend,"heather grey, navy blue",sweatpants,elasticated ankles,mélange effect
19710048,None,high waist,tailored cut,merino wool,olive brown,straight-leg,straight leg,recycled or upcycled materials
16361167,elasticated waistband,mid-rise,classic five pockets,cotton blend,Black,skinny cut,skinny,stretch-design
19933159,drawstring,elasticated high-rise,contrast topstitching,None,black,cargo,drawstring hems,None
20636780,None,high waist,chain-link detailing,None,black,slim cut,cropped leg,gold-tone logo plaque
19229826,drawstring,waist,"multiple zip-fastening pockets, multiple cargo pockets",None,khaki,wide-leg tapered,tapered leg,None
20937048,slip-on,None,signature Barocco print,stretch-design,"turquoise blue-green, gold-tone",leggings,None,None
19172508,None,high-waisted,elasticated waistband,stretch-silk,leopard-print,slim cut,None,None
20212924,belt loops,belt loops,cropped leg,wool blend,black,tapered-leg,tapered leg,None
20155851,elasticated waistband,elasticated waistband,logo patch to the rear,cotton blend,black,wide leg,wide leg,jersey fleece
20250154,hook and zip fly fastening,belt loops,box-pleat detail,wool,brown,wide-leg,extra-long length,None
17357538,concealed front fastening,low-rise,belt loops,None,Black Raven,straight-leg,None,None
15654057,concealed front fastening,mid-rise,pressed crease,None,Ivory white,flared design,flared,None
11570505,None,None,cropped,stretch cotton,Black,pants,None,None
16212576,None,high waist,"logo print at the leg, two side slit pockets",cotton-blend,Heather grey,tapered design,balloon leg,mélange effect
19172501,button fly fastening,high waist,logo-embossed buttons,virgin wool,black,stretch-design,wide leg,pressed crease
20164985,button fly fastening,belt loops,all-over graphic print,cotton,multicolour,straight leg,straight leg,None
16660154,"front lace-up, rear zip",high waist,"belt loops, classic five pockets, logo plaque",cotton,Black,skinny cut,skinny,coated
19356313,pull-on,None,"['diagonal pockets', 'rear welt pocket']",stretch-design,black,wide-leg trousers,wide leg,None
18378189,"front hook and eye fastening, hook and zip fly",high-waisted,"semi-sheer panels, corset style, belt loops",cotton,black,corset-style,straight leg,None
20460988,zip fly fastening,low-rise,embroidered logo,cotton,beige,multiple cargo pockets,slim cut,marbled pattern
20315334,concealed front fastening,high-waisted,belt loops,recycled polyester blend,black,flared,trousers,satin finish
20103101,concealed front fastening,belt loops,double pleated,None,pinstripe pattern,straight leg,None,None
18540427,None,high waist,sheer panelling,stretch-design,black,skinny cut,None,None
19692843,concealed front fastening,high-waisted,belt loops,virgin wool,grey,tailored cut,wide leg,None
15776569,concealed front fastening,high-waisted,multi-panel design,cotton blend,Black,flared design,flared leg,None
20004431,concealed front fastening,drawstring fastening waist,side flap pockets and rear flap pocket,cotton,dark green,straight leg,None,None
20046086,None,high waist,sequin embellishment,silk blend,multicolour,flared,flared hem,Sicilian carretto print
20497327,front button and zip fastening,high waist,"logo patch to the rear, layered details, belt loops","stretch-cotton, cotton lining",beige,layered trousers,None,None
19832286,None,None,semi-sheer panels,stretch-design,silver-tone,Spiral leggings,stirrup cuffs,metallic finish
21415215,front button and zip fastening,adjustable side straps,pleat detailing,cotton,archive beige,straight leg,straight leg,None
15359177,side zip,elasticated waistband,"front zipped pockets, tonal split cuffs",technical jersey,black,slim fit,None,None
20112815,front button and zip fastening,high waist,gold-tone hardware,silk,cream white,palazzo design,flared,all-over graphic print
20046871,front button and zip fastening,high waist,None,linen,red,Sylvie,wide leg,None
18352673,front button and zip fastening,high-waisted,belt loops and classic five pockets,goatskin,silver-tone,straight leg,straight leg,metallic finish
20046075,front button fastening,belt loops,"two side slash pockets, rear welt pocket",silk,multicolour,straight-leg,straight leg,None
20858189,zip fly fastening,low-rise,pleat detailing,recycled wool blend,grey,tailored,straight leg,mélange effect
21113630,off-centre front button fastening,belt loops,pressed crease,virgin wool blend,olive green,tailored cut,None,stretch-design
18836314,concealed front fastening,mid-rise,Medusa plaque detail,wool blend,black,flared trousers,flared hem,None
17207488,concealed front fastening,None,"dart detailing, two rear welt pockets, pressed crease",recycled polyester-wool blend,Deep blue,tailored trousers,None,None
20535290,front button fastening,None,logo lettering,None,black,cargo,None,None
20187235,drawstring fastening,waist,rear welt pocket,organic cotton,light grey,wide leg,wide leg,mélange effect
19595210,concealed front fastening,high-waisted,belt loops,virgin wool,forest green,unisex,wide leg,None
20198023,concealed side zip fastening,None,pressed crease,None,cream white,straight-leg cropped trousers,straight leg,None
19083834,elasticated waistband,elasticated,cargo pockets,cotton blend,black,straight-leg,straight leg,None
20140804,rear zip-fastening,belted waist,detachable belt,recycled nylon blend,sage green,Blouson,straight leg,drawstring hem
18672994,elasticated waistband,elasticated waistband,logo print at the leg,organic cotton,light beige,track pants,elasticated ankles,POSITIVELY CONSCIOUS
20460987,concealed fly and button fastening,high-waisted,multiple cargo pockets,"cotton, denim",dark purple,tapered leg,press-stud fastening cuffs,distressed finish
16469836,elasticated waistband,high waist,side stripe detailing,cotton-blend,Vintage check,straight leg,straight leg,None
18015301,drawstring,fastening waist,RWB stripe,cotton,white,track-pants,elasticated ankles,None
18691768,front button and zip fastening,high-waisted,classic five pockets,stretch-cotton,indigo blue,slim cut,None,None
17666275,slip-on,elasticated waistband,contrast stitching,organic cotton-blend,Black,straight trousers,straight leg,None
21297140,concealed front fastening,high-waisted,"pintuck detailing, detachable belt, belt loops",None,chocolate brown,tailored,wide leg,None
18267476,slip-on,elasticated,ribbed detailing,None,Black,straight trousers,straight leg,None
17869357,None,logo waistband,stretch-design,eco-materials,Black,cropped leggings,skinny cut,None
20631818,front button and zip fastening,high-waisted,belt loops,None,ash grey,wide-leg high-waisted trousers,wide leg,None
20208362,side zip fastening,high waist,two front welt pockets,cotton blend,black,tailored design,wide leg,tweed
17184782,belted,high waist,two side slit pockets,cotton,Black,cropped,slim cut,Conscious
19182204,None,None,pressed crease,virgin wool-silk blend,apple green,wide leg,ankle-length,None
20198022,None,None,pressed crease,wool blend,grey,cropped straight-leg,None,mélange effect
21346560,front button and zip fastening,mid-rise,belt loops,cotton,almond beige,wide leg,wide leg,corduroy
20358391,zip fly fastening,detachable belt,belt loops,linen/flax,"light pink, multicolour, all-over floral print","flared design, cropped leg",flared,scallop hem
18465647,front hook and eye fastening,high waist,slip pockets to the sides,"organic cotton, EcoVero??viscose",black,ankle-length,straight leg,None
20857550,elasticated waistband,mid-rise,zigzag-embroidery,wool blend,dark pink,straight-leg,straight leg,signature zigzag woven design
17673399,elasticated drawstring,waistband,embroidered logo,cotton blend,Blue,track trousers,tapered leg,ribbed cuffs
20046883,concealed front fastening,low-rise,pleat detailing,linen/flax,oat,wide-leg trousers,wide leg,None
19135575,None,mid-rise,logo waistband,cotton,black/white,stretch-design,None,None
20920583,None,high-waisted,"mesh panelling, laser-cut detail","recycled polyester blend, stretch-jersey","tangerine orange, abstract pattern print",None,7/8 leggings,None
16422392,None,elasticated waistband,embroidered logo to the front,organic cotton/recycled polyester,Sweet-pink,tapered design,elasticated ankles,None
20046073,front button fastening,high waist,all-over embroidery,None,white,cigarette,tapered leg,None
20046087,concealed front fastening,high-waisted,Majolica print,crepe texture,"fuchsia pink, white",flared trousers,flared hem,None
19481938,None,high-waisted,"side stripe detailing, logo print to the front",recycled polyamide blend,"black, lemon yellow",leggings,ankle-length,None
20274685,concealed front fastening,high waist,pressed crease,linen blend,beige,straight-leg,straight leg,Conscious
18386433,drawstring,drawstring-waistband,two side inset pockets,recycled polyester,tobacco brown,wide leg,wide leg,smoothing finish
15304907,concealed fastening,high waist,belt loops,None,brown,pleated,None,None
20855813,concealed fly and button fastening,mid-rise,belt loops and classic five pockets,"cotton blend, modal blend",cedar brown,straight-leg trousers,straight leg,None
18369071,front button and zip fastening,mid-rise,classic five pockets,cotton,black,straight-leg,straight leg,dark wash
18734024,None,high waist,pleat detailing,None,grey,tailored,straight leg,None
20872064,concealed front fastening,mid-rise,pleat detailing,technical jersey,beige,wide-leg cargo trousers,wide leg,adjustable-strap ankle
20232845,button fly fastening,mid-rise,frayed brim,cotton blend,indigo blue,cropped,cropped leg,mid wash
19262829,drawstring waist,high-waisted,dart detailing,cotton blend,white,tailored design,cropped leg,stretch-design
20187218,elasticated drawstring,waistband,"logo print, side stripe detailing",stretch-jersey,black,straight-leg,straight leg,None
19595205,elasticated waistband,elasticated waistband,side stripe detailing,virgin wool,blue/white,straight-leg,straight leg,None
20046069,None,mid-rise,Majolica print,stretch-cotton,white/red,flared,cropped leg,None
19706878,concealed front fastening,high-waisted,None,None,black,straight-leg trousers,straight leg,None
19554591,front button and zip fastening,belt loops,"multiple cargo pockets, two side inset pockets, two rear patch pockets","organic cotton, raw denim",black,cargo trousers,straight leg,tonal stitching
20240806,None,high-waisted,zigzag print,None,multicolour,straight leg,straight leg,artisanal
19813587,front button and zip fastening,mid-rise,"belt loops, two side slit pockets, two rear patch pockets, CSC Square photographic print",canvas,multicolour,relaxed fit,None,None
17919578,elasticated drawstring,high-waisted,"['logo print', 'logo patch']",cotton,black,tapered,elasticated ankles,None
18386420,button fly fastening,high waist,belt loops,recycled leather,brown,straight-leg,straight leg,tonal design
20902861,rear zip,high-waisted,reflective detailing,recycled polyester blend,black,logo-print leggings,leggings,stretch-jersey
18996943,concealed side zip fastening,high waist,None,cotton blend,black,flared design,flared-leg,velvet
19976250,front button and zip fastening,high-waisted,lace cuffs,cotton,black,cargo pants,None,washed denim
20046094,button fly fastening,mid-rise,silver-tone logo plaque,virgin wool,black,straight-leg,straight leg,pressed crease
20471248,concealed front fastening,mid-rise,embroidered motif,None,"black, gold-tone",tailored design,cropped,None
20244494,front button and zip fastening,high-waisted,"pressed crease, gold-tone hardware, classic five pockets, belt loops","cotton, denim",navy blue,flared design,super-flared,None
20198803,button fly fastening,elasticated waistband,"['logo patch to the front', 'logo patch to the rear', 'belt loops', 'classic five pockets']",cotton,"['white', 'check pattern']",layered design,straight leg,None
20955332,buckle fastening,high waist,gold-tone hardware,silk,burgundy,belted waist,wide leg,None
20249770,front button and zip fastening,belt loops,two side slit pockets and two rear patch pockets,cotton,olive green,straight trousers,straight leg,corduroy
20909244,elasticated waistband,elasticated waistband,washed,organic cotton,navy blue,tapered leg,tapered,washed
19214004,button fly fastening,mid-rise,decorative stitching,cotton,blue,pleated wide-leg trousers,wide leg,denim
17004318,None,high-waisted,tonal stitching,None,Vintage Check,stretch-design,leggings,None
20178823,elasticated waistband,high waist,logo-tape detailing,recycled polyester,black/white,straight trousers,straight leg,None
19043057,concealed fly and button fastening,high-waisted,pressed crease,lambskin,black,straight-leg,None,None
20232816,drawstring fastening,wide leg,ruched detailing,TENCEL??Lyocell,olive green,None,wide leg,twill weave
20954225,front button and zip fastening,high waist,"belt loops, pressed crease, two rear welt pockets",cotton blend,stone,straight leg,None,corduroy
19594521,concealed front fastening,elasticated waistband,pressed crease,virgin wool,beige/ black,straight leg,straight leg,None
19214697,None,elasticated waistband,side slits,None,"light beige, all-over floral print",straight leg,None,None
18814837,concealed front fastening,mid-rise,front zip fastening pockets,leather,jet black,bootcut and flared,flared,None
20754348,None,high waist,pleat detailing,crêpe,black,cargo trousers,None,None
17993925,None,elasticated waistband,logo print to the front,cotton-blend,light heather grey,track trousers,elasticated ankles,None
18991738,hook and zip fly fastening,high waist,braid detailing,linen,bright red,wide leg,ankle-length,None
18923753,elasticated waistband,elasticated waistband,two side inset pockets,faux leather,black,cropped,wide leg,None
21156815,concealed front fastening,high waist,belt loops,stretch-wool,bone white,box-pleat design,wide leg,None
20558810,"['button fastening', 'zip fly fastening']",low-rise,belt loops,satin,black,flared,flared,satin finish
20243485,elasticated drawstring,waistband,"two side slit pockets, rear welt pocket",None,"snake-print, black/brown",palazzo,wide leg,None
20046095,button fly fastening,mid-rise,"silver-tone logo plaque, pressed crease",virgin wool,camel brown,straight-leg trousers,straight leg,None
20472293,concealed front fastening,low-rise,belt loops,None,light brown,flared,pressed-crease,None
20237532,drawstring,high waist,two rear welt pockets,None,light grey,tapered,tapered leg,elasticated
20381629,None,mid-rise,ribbed knit,None,black,flared,flared cuffs,None
18516674,hook and zip fly,high waist,pleat detailing,wool,black,wide leg,ankle-length,Conscious
20842267,elasticated waistband,low-rise,"paint splatter detail, ruched detailing",tulle lining,grey,stretch-design,None,None
19264310,concealed front fastening,paperbag waist,rear flap pocket,cotton blend,brown,Origami,cropped leg,None
18329566,concealed front fastening,high-waisted,pressed crease,wool blend,black,cropped,straight leg,None
19595203,elasticated drawstring,elasticated drawstring waistband,embroidered logo to the front,cotton,black,track pants,elasticated ankles,None
20208323,None,high-waisted,floral-lace detailing,None,black,stretch-design,None,semi-sheer construction
18598472,concealed front fastening,mid-rise,two side slash pockets,cotton blend,dark magenta,straight-leg,straight leg,velvet
20064556,belted waist,high-waisted,pleat detailing,wool,black,cropped,straight leg,None
20473588,None,high waist,"turn-up brim, pleat detailing",linen/flax,cream white,straight leg,straight leg,None
19594520,elasticated drawstring,elasticated waistband,embroidered logo,cotton,blue,track pants,elasticated ankles,None
20913970,concealed side zip fastening,high-waisted,gold-tone logo plaque,crepe,black,flared trousers,flared hem,stretch-design
20560442,concealed side zip fastening,high-waisted,semi-sheer construction,None,jet black,flared design,flared,semi-sheer
20266339,front press-stud and zip fastening,mid-rise,"contrasting panel detail, logo charm",stretch-design,"black, grey",flared,flared,None
20523383,concealed fly and button fastening,classic five pockets,straight leg,faux leather,plum purple,trousers,straight leg,None
20856850,None,elasticated waistband,zigzag-embroidery,wool blend,black,straight-leg,straight leg,signature zigzag woven design
20011071,concealed zip and hook,low-rise,belt loops,wool-mohair blend,grey,bootcut leg,bootcut,None
20112918,front button and zip fastening,high waist,"two diagonal pockets to the sides, pressed crease, belt loops",wool,black,flared design,straight hem,None
20031482,elasticated,waistband,logo print at the leg,cotton,heather grey,track pants,None,mélange effect
18319022,rear zip,high waist,"sheer panelling, seam detailing, detachable harness",None,black,stretch-design,stirrup,sheer
20170557,front button fastening,drawstring waist,"['two side flap pockets', 'rear flap pocket', 'drawstring hem']",cotton,khaki,parachute trousers,wide leg,None
19246362,None,high waist,None,cotton-wool blend,ecru,flared,flared,textured finish
20660520,concealed front button fastening,high-waisted,seam detailing,corduroy,chocolate brown,flared,flared,None
20031681,elasticated,elasticated waistband,crest motif,cotton,jet black,track pants,None,None
20882538,None,None,tailored,None,black,tailored design,straight leg,None
20177916,elasticated waistband,elasticated waistband,crystal embellishment,organic cotton,light pink,tapered leg,elasticated ankles,None
20472346,concealed front fastening,mid-rise,belt loops,stretch-cotton velvet,fern green,flared,full-length,velvet
20060024,concealed front fastening,mid-rise,mini logo tag,None,sand beige,flared trousers,flared,None
20153380,concealed front fastening,low-rise,belt loops,None,black,flared design,flared,pressed crease
21390526,concealed front button fastening,high waist,pressed crease,None,white,palazzo pants,wide leg,None
17143219,front button and zip fastening,high waist,"side stripe detailing, turn-up hem",virgin wool-silk blend,Black,"tailored, cropped",None,None
20913436,concealed fly and button fastening,rear elasticated waistband,pressed crease,cotton blend,pumpkin orange,flared,straight hem,velvet
20787802,concealed front fastening,high-waisted,rear welt pocket,None,black,slim-fit,straight hem,short side slits
19672795,hook and zip fly fastening,low-rise,slip pockets to the sides,virgin wool blend,camel brown,straight leg,elasticated ankles,None
20272611,None,elasticated waistband,fully pleated,None,ash grey,slim cut,None,None
20934213,concealed front fastening,drawstring waist,pleat detailing,merino wool blend,off-white,tapered leg,tapered leg,corduroy
16865362,None,logo waistband,cropped leg,stretch-design,black,legging,cropped,None
18666495,drawstring,elasticated,embossed logo,cotton,black,track pants,elasticated ankles,None
19146546,front button fastening,elasticated waistband,lurex detailing,None,bright red,two-piece suit,flared,None
20156800,elasticated waistband,elasticated waistband,logo patch to the rear,cotton blend,rose red,straight leg,None,None
16290767,hook and zip fly,high,"slash pockets, button-fastening pockets",cotton-blend,White,tapered,tapered,None
19868354,elasticated,waistband,side stripe detailing,cotton,bubblegum pink,track pants,None,None
16986616,concealed front fastening,high waist,slub texture,None,Smoke-grey,slim cut,ankle-length,None
19645784,elasticated drawstring,elasticated drawstring waistband,logo patch to the front,cotton,forest green,cargo trousers,elasticated ankles,None
20113290,exposed rear zip,high-waisted,embossed gold-tone buttons,lambskin,black,flared,flared hem,None
19618986,elasticated waistband,elasticated waistband,detachable belt,silk,all-over floral print,Relaxed,wide leg,None
18817102,None,high-waisted,stirrup cuffs,None,black,leggings,stirrup,None
19902000,cuff zips,low-rise,logo patch to the side,stretch-design,black,flared,slight flare,None
20635985,None,high waist,gold-tone logo plaque,crepe texture,white,skinny cut,cropped,None
20472378,hook and zip fly fastening,mid-waist,belt loops,cotton blend,navy blue,tapered-leg,tapered leg,None
16363481,None,high waist,"sheer panels, logo print to the front",None,Black,stretch-design,contour leggings,None
20051568,concealed front fastening,high-waisted,dart detailing,None,midnight blue,wide-leg,wide leg,None
19663814,front zip fastening,elasticated waistband,logo print to the front,recycled polyamide,black,high waist,slight flare,technical jersey
20740292,internal drawstring,elasticated waistband,signature trefoil logo detail,"cotton, recycled polyester blend",black,wide-leg,wide leg,jersey texture
19042231,front button and zip fastening,high waist,belt loops,None,"black, pinstripe pattern",straight-leg,cropped leg,pressed crease
19419167,elasticated,elasticated waistband,lightweight construction,linen/flax,black,wide-leg,wide leg,None
20051559,front button fastening,elasticated waistband,drawstring cuffs,None,olive green,parachute-style,wide leg,None
21001982,concealed front fastening,high waist,pressed crease,None,white,palazzo design,wide leg,None
15797564,elasticated waistband,high waist,two side slash pockets,faux leather,Black,tapered fit,elasticated ankles,None
20280592,elasticated drawstring,elasticated drawstring waistband,pressed crease,wool blend,anthracite grey,tailored design,wide leg,None
20646026,elasticated waistband,high waist,"classic five pockets, belt loops, silver-tone hardware",cotton blend,black,cropped straight-leg,straight leg,None
18884811,concealed front fastening,None,Gancini plaque,stretch-design,terracotta brown,flared,flared,None
18038328,front lace-up,high waist,panelled design,faux leather,black,straight leg,front slit,None
20645856,None,high waist,chain-link detailing,crepe,ivory white,palazzo pants,straight leg,stretch-design
20528479,None,low-rise,embroidered logo to the front,cotton blend,black,None,wide leg,pressed crease
17959927,drawstring,fastening waist,embroidered logo,organic cotton,Cream white off-white,slim cut,elasticated ankles,None
19506096,drawstring fastening,None,"['logo print', 'signature trefoil logo detail']",recycled polyester blend,"['colour-block panelled design', 'multicolour']",slim cut,None,None
20006252,concealed front fastening,high-waisted,pressed crease,linen blend,banana yellow,trousers,split cuffs,None
19991722,elasticated waistband,belt loops,two rear welt pockets,cotton,beige,tailored,straight leg,None
18726032,zip,elasticated waistband,logo print to the side,cotton,black,joggers,flared,None
19173450,hook and zip fly,high-waisted,belt loops,stretch-cotton,leopard print,slim cut,cropped leg,None
20152690,concealed front fastening,mid-rise,"belt loops, embroidered logo to the rear, two side slash pockets, two side cargo pockets, two front flap pockets, rear patch pocket",velvet,jet black,wide leg,None,crinkled finish
19182331,hook and zip fly,high waist,"two diagonal pockets to the sides, two rear jetted pockets",wool blend,black,straight-leg trousers,straight leg,None
19285336,concealed front fastening,high waist,pleat detailing,None,black,straight leg,None,None
19815368,front button and zip fastening,high-waisted,belt loops,None,black,tailored design,straight leg,None
20497878,concealed front zip,high-waisted,belt loops,virgin wool,flamingo pink,flared trousers,flared,all-over logo print
20852723,side zip fastening,high waist,gold-tone logo plaque,None,black,cropped,skinny cut,"stretch-design, crepe texture"
21025978,elasticated waistband,elasticated waistband,logo patch to the front,cotton,black,straight leg,straight leg,None
20511357,elasticated waistband,elasticated waistband,logo print at the leg,cotton,burgundy,tapered leg,tapered leg,ribbed trim
