id,Design/Style,Color/Print/Pattern,Sleeves,Detail,Shoulder,Neckline,Effect/Finish,Hem,Trim,Material,Back,Hood
20265900,cut-out cropped sweatshirt,black,long sleeves,cut-out detailing,None,crew neck,jersey fleece,straight hem,ribbed cuffs and hem,cotton blend,None,None
17997509,T-shirt,White,short sleeves,Carbon Neutral Certification,None,round neck,organic,None,None,organic cotton,None,None
16750397,hoodie,Black/white/blue,long sleeves,"logo-print, graffiti print",drop shoulder,hood,Sprayed,front pouch pocket,None,cotton,None,drawstring hood
20645995,draped asymmetric,black,extra-long,split cuffs,None,asymmetric neck,None,asymmetric hem,None,cotton,None,None
18765068,logo-print,black,short sleeves,logo print to the front,None,crew neck,None,None,None,cotton,None,None
18790502,polo shirt,cloud white,short sleeves,"embroidered logo at the chest, embroidered logo to the rear",None,polo collar,piqué weave,straight hem,None,cotton,None,None
20046022,bustier top,cherry-print,sleeveless,scalloped edge,None,bustier-style neckline,None,cropped,None,None,rear zip fastening,None
20469201,T-shirt,beige,short sleeves,"sequin embellishment, bow detailing",None,plunging V-neck,stretch-design,None,None,None,None,None
20044988,shirt,"all-over floral print, lavender purple",long puff sleeves,gold-tone buttons,None,mock neck,None,straight hem,buttoned cuffs,linen-silk blend,None,None
20250610,T-shirt,white/multicolour,short sleeves,graphic print to the front,None,round neck,None,straight hem,None,cotton,None,None
21413317,shirt,"Vintage Check, royal blue, off-white",long sleeves,"zip-fastening chest pocket, press-stud fastening cuffs",None,straight-point collar,None,straight hem,None,wool blend,None,None
20083381,T-shirt,black,short sleeves,"graphic print to the front, logo print to the rear",None,round neck,None,straight hem,None,organic cotton,None,None
20140801,corset shirt,white,long sleeves,hook and eye fastenings,None,spread collar,None,curved crop hem,None,cotton-blend,None,None
19549034,tank top,bright green,None,lettuce hem,None,scoop neck,None,lettuce,lettuce-trim,None,rear lace-up fastening,None
20569773,T-shirt,coral red,short sleeves,logo print at the chest,None,crew neck,None,straight hem,None,organic cotton,None,None
19605565,polo shirt,ivory white,short sleeves,4-Bar,None,polo collar,None,None,None,cotton,None,None
19595215,Ami de Coeur short-sleeve T-shirt,medium grey,short sleeves,signature Ami de Coeur monogram motif,drop shoulder,crew neck,mélange effect,straight hem,embroidered logo,cotton,embroidered logo to the rear,None
19592666,cropped,blue/white,short sleeves,"logo print to the front, graphic print to the front",None,round neck,None,straight hem,None,cotton,None,None
19166689,halterneck top,multicolour,None,all-over stripe pattern,None,halterneck,stretch knit,straight hem,None,knit,None,None
20233728,shirt,"Pennant-print light brown, black",long sleeves,"mother-of-pearl button fastening, buttoned cuffs",None,notched collar,satin weave,curved hem,contrasting trim,silk,None,None
14452049,oversized,white,long sleeves,"buttoned cuffs, chest patch pocket",None,point collar,None,long curved hem,None,linen,back box pleat,None
20046873,top,light blue,None,"['smocked panel', 'tie-fastening straps']",None,notched collar,None,straight hem,None,silk,rear zip fastening,None
20046887,Cora linen top,white,short sleeves,open back,None,square neck,None,None,None,linen,open back,None
18374949,shirt,white,long sleeves,teddy bear print,None,classic collar,None,curved hem,None,cotton,None,None
20134141,blouse,blue,short sleeves,front tie fastening,None,round neck,vertical stripe pattern,straight hem,None,organic cotton,None,None
20140808,corset style,black,detachable bolero sleeves,open knit,None,halterneck,None,cropped,None,None,concealed rear zip fastening,None
19813590,Square shirt,multicolour,short sleeves,CSC Square photographic print,None,notched collar,None,straight hem,None,None,None,None
20475250,rugby top,black,long sleeves,Pony Club crest embroidery,None,rugby collar,None,straight hem,None,cotton,None,None
19595224,Breton-stripe T-shirt,"['white', 'navy blue', 'red']",long sleeves,signature Ami de Coeur monogram motif,None,crew neck,None,None,None,cotton,None,None
16390323,blouse,Black,long puff sleeves,ruffle-trimmed,None,ruffle collar,None,None,front tie fastening,None,None,None
20265999,hoodie,charcoal grey,long sleeves,"teddy bear print, pixelated print",drop shoulder,None,None,straight hem,ribbed cuffs and hem,cotton,logo print to the rear,classic hood
20044975,cropped top,"butterscotch brown, white, gingham check pattern",sleeveless,"open back, halterneck tie fastening, rear tie fastening",None,halterneck,None,cropped,None,linen,open back,None
19037307,long-sleeved top,"black, crescent moon print",long sleeves,stretch-design,None,round neck,None,straight hem,None,None,None,None
19384057,strapless top,ivory white,strapless,cropped,strapless,strapless,None,straight hem,None,linen blend,None,None
18258404,logo print,black,short sleeves,at the chest,None,round neck,None,straight hem,None,cotton,None,None
17404904,corset-style,White,long sleeves,classic collar,None,None,None,straight hem,None,cotton-blend,None,None
20249760,sweatshirt,black,long sleeves,embroidered logo,None,crew neck,None,straight hem,fitted-cuff sleeves,cotton,None,None
21248387,top,dark purple,short puff sleeves,ruffled detailing,None,crew neck,None,straight hem,None,cotton,None,None
19859381,cropped top,black,sleeveless,strap detailing,one-shoulder,None,knitted,None,None,linen blend,open back,None
19751335,tank top,white/black,None,ribbed knit,None,halterneck,None,straight hem,crescent moon print,stretch-cotton,racerback,None
19382353,bodysuit,black,long sleeves,cut-out detailing,None,scoop neck,sheer,None,corset style,cotton,None,None
20319966,T-shirt,black,short sleeves,gemstone detailing,None,crew neck,None,straight hem,"signature Teddy Bear motif, logo print at the chest",organic cotton,None,None
19445528,T-shirt,off-white,short sleeves,rhinestone embellishment,None,round neck,None,straight hem,None,cotton,None,None
19594507,sweatshirt,pink,long sleeves,signature Ami de Coeur monogram motif,None,crew neck,None,elasticated hem,elasticated cuffs,organic cotton,None,None
19577598,hoodie,light grey,long sleeves,logo print at the chest,drop shoulder,None,mélange effect,None,None,cotton,None,drawstring hood
19562075,asymmetric top,brown,single shoulder strap,twist detailing,single,bandeau style,clasp fastening,asymmetric,None,None,None,None
20357342,cropped button-up,black,short sleeves,front button fastening,None,spread collar,None,straight hem,None,cotton,None,None
19679843,button-up,purple,long sleeves,chest patch pocket,None,classic collar,None,None,None,recycled polyester blend,None,None
17994946,sweatshirt,light heather grey,long sleeves,logo print at the chest,None,crew neck,None,elasticated hem,elasticated cuffs,cotton-blend,None,None
18843582,tennis top,white,None,crescent moon print,None,round neck,None,None,None,organic cotton,None,None
20062889,draped,emerald green,short sleeves,charm detail,off-shoulder,None,chain-link detailing,asymmetric hem,ring-bound design,None,rear button fastening,None
20103104,crop top,black/white,long sleeves,horizontal stripe,None,boat neck,None,straight hem,None,cotton,None,None
19683106,stretch-design,black/grey,long sleeves,abstract pattern print,None,round neck,None,straight hem,None,None,None,None
19384059,wrap shirt,ivory white,None,cropped,None,spread collar,None,high-low hem,None,silk,None,None
20134124,cropped T-shirt,zebra-print,short sleeves,crinkled,None,round neck,crinkled finish,straight hem,None,recycled polyester blend,None,None
19211134,T-shirt,black,short sleeves,embroidered logo at the chest,None,crew neck,None,straight hem,None,organic cotton,None,None
20244076,ruched halterneck top,black,sleeveless,ruffled trim,halterneck,plunging U-neck,jersey texture,None,ruffled,stretch-design,open back,None
20939255,hoodie,white/multicolour,long sleeves,logo print at the hood,None,None,None,straight hem,drawstring,cotton,None,drawstring hood
16990820,sweatshirt,Heather grey,long sleeves,logo print at the chest,drop shoulder,classic hood,"mélange effect, distressed effect",ribbed hem,ribbed cuffs,organic cotton,None,classic hood
19339042,logo-print,"cloud white, light pink",short sleeves,metallic effect,None,round neck,metallic effect,straight hem,None,linen,None,None
20156791,short-sleeve T-shirt,black,short sleeves,graphic print,None,crew neck,None,None,None,organic cotton,None,None
20308684,blouse,ecru,long sleeves,rhinestone embellishment,drop shoulder,pussy-bow collar,None,cropped,buttoned cuffs,silk,None,None
17848686,polo,white,short sleeves,embroidered logo at the chest,None,polo collar,None,straight hem,None,stretch-cotton,None,None
19594509,sweatshirt,grey,long sleeves,embroidered logo at the chest,None,crew neck,None,elasticated hem,elasticated cuffs,cotton blend,None,None
18298046,cropped denim vest,blue,sleeveless,front zip fastening,None,None,None,cropped,None,cotton blend,None,None
19649242,Wellness crew-neck,navy blue,long sleeves,logo print,None,crew neck,jersey knit,ribbed hem,ribbed cuffs,cotton,None,None
20918579,wrap design,"black/multicolour, abstract pattern print","long sleeves, flared cuffs","semi-sheer construction, side tie fastening",None,plunging V-neck,stretch-silk,straight hem,pointed flat collar,stretch-silk,None,None
17772974,Chillax Fox,Blue,short sleeves,logo patch at the chest,None,round neck,None,None,None,cotton,None,None
20178820,sweatshirt,light pink,long sleeves,crystal embellishment,drop shoulder,crew neck,None,ribbed hem,ribbed cuffs,organic cotton,None,None
20250833,hoodie,"jade green, tie-dye print",long sleeves,"logo print at the chest, front pouch pocket",drop shoulder,classic hood,None,ribbed hem,ribbed cuffs,cotton,logo print to the rear,classic hood
19298307,cropped satin shirt,silver-tone,short rolled sleeves,boned bodice,epaulettes,classic collar,satin weave,curved hem,front press-stud fastening,recycled polyester blend,None,None
20097367,corset style,black,strapless,"panelled design, tonal stitching, moulded cup",None,sweetheart neck,patent finish,curved hem,gold-tone hardware,None,concealed rear zip fastening,None
21231390,blouse,khaki,long puff sleeves,"ruched bodice, twist detailing, adjustable waist strap",off-shoulder,None,stretch-design,cropped,None,None,rear hook and eye fastening,None
19475998,shirt,white/multicolour all-over logo baroque-pattern stripe,long sleeves,classic collar front button fastening,None,classic collar,None,None,None,None,None,None
20052430,top,"['black', 'beige', 'crescent moon print']",long sleeves,made from at least 50% recycled or upcycled materials,None,crew neck,stretch-jersey,straight hem,None,recycled polyamide blend,None,None
20079873,T-shirt,"['amber yellow', 'bright green', 'chocolate brown']",short raglan sleeves,"['logo-embroidered', 'signature 3-Stripes logo', 'logo print to the front']",raglan,crew neck,organic,straight hem,logo,organic cotton,None,None
20029955,logo-print T-shirt,cream white,short sleeves,logo print at the chest,None,crew neck,None,straight hem,None,cotton,None,None
16793510,Melody billowing shirt,Island green,long sleeves,"front button fastening, buttoned cuffs",drop shoulder,classic collar,None,curved hem,None,organic cotton,None,None
18564802,T-shirt,white,short sleeves,logo print at the chest,None,crew neck,None,straight hem,None,linen,None,None
16050156,cropped short-sleeve T-shirt,White,short sleeves,logo print to the front,None,round neck,None,straight hem,None,cotton-blend,None,None
20178818,T-shirt,white,short sleeves,logo print at the chest,None,crew neck,organic,straight hem,None,organic cotton,None,None
20904135,racerback top,black/white,sleeveless,"logo print to the front, logo patch to the rear",None,round neck,None,None,None,organic cotton blend,racerback,None
20031530,cropped hoodie,light beige,long sleeves,logo print to the front,None,None,jersey knit,ribbed hem,ribbed cuffs,cotton,None,classic hood
19906728,Tio V-neck top,off-white,sleeveless,front hook and eye fastening,halterneck,V-neck,None,None,None,None,open back,None
20472209,shirt,floral-print light brown,long sleeves,buttoned cuffs,None,classic collar,None,straight hem,None,silk,None,None
20046039,crop T-shirt,white,short sleeves,logo embroidery at chest,None,round neck,None,straight hem,None,cotton,None,None
19691078,shirt,brown,short sleeves,embroidered design,None,notched collar,None,None,None,linen,None,None
18841497,T-shirt,white,short sleeves,crescent moon print,None,round neck,None,straight hem,logo patch,organic cotton,None,None
20211431,cropped shirt,optical white,long sleeves,"oversized pointed collar, buttoned cuffs",None,pointed collar,poplin texture,rear curved hem,None,cotton,None,None
19766105,cropped shirt,white,long sleeves,gathered detailing,None,classic collar,None,cropped,front button fastening,cotton,None,None
20178816,sweatshirt,"light yellow, black",long sleeves,"logo print to the front, graphic print to the rear",drop shoulder,crew neck,ribbed,ribbed hem,ribbed cuffs,organic cotton,graphic print to the rear,None
19296851,logo print,black,short sleeves,graphic print,drop shoulder,round neck,None,None,None,cotton,None,None
20267019,T-shirt,"['black', 'light grey']",long sleeves,graphic print to the front,None,scoop neck,None,straight hem,None,cotton,None,None
20713686,shirt,white,short puff sleeves,"faux-pearl embellishment, embroidered detailing",None,Peter Pan collar,None,scallop hem,None,cotton,None,None
16630575,T-shirt,Charcoal-grey/black,short sleeves,"['logo print to the front', 'logo patch to the rear']",None,round neck,None,straight hem,None,cotton,logo patch to the rear,None
20246351,patchwork denim shirt,indigo blue,long sleeves,buttoned cuffs,None,classic collar,None,curved hem,None,cotton-linen blend,None,None
19906374,T-shirt,white/multicolour,short sleeves,graphic print to the front,None,crew neck,crinkled finish,straight hem,contrast lining,cotton,None,None
18843565,Second Skin,White on beige,long sleeves,monogram,None,funnel neck,flocked,None,None,None,None,None
19659269,shirt,tartan-print sky blue carrot orange black,long sleeves,decorative stitching,None,straight-point collar,semi-sheer,straight hem,buttoned cuffs,stretch-design,None,None
20024613,twisted-effect cut-out top,black,long sleeves,"twist detailing, cut-out detailing",None,round neck,stretch-design,None,None,None,None,None
18037449,tank top,white,spaghetti straps,"logo patch to the rear, strap detailing",None,scoop neck,None,None,None,stretch-cotton,logo patch to the rear,None
20509027,strapless top,black,strapless,bead detailing,strapless,strapless,front button fastening,beaded-hem,None,organic cotton,None,None
15653945,T-shirt,Black,short sleeves,"logo print at the chest, logo print to the rear",drop shoulder,round neck,None,None,None,cotton,logo print to the rear,None
17556686,zip-up hoodie,White,long sleeves,Monili chain,None,None,None,straight hem,None,cotton,None,classic hood
20142325,embroidered shirt,white,long sleeves,embroidered design,None,pointed flat collar,None,None,buttoned cuffs,cotton,layered design,None
16297435,Ramona,washed grey,long sleeves,"graphic print at the chest, logo print to the front, ribbed detailing",None,round neck,faded effect,straight hem,None,cotton,None,None
17297756,distressed-finish,Light purple/white,short sleeves,"logo print at the chest, ripped detailing",drop shoulder,crew neck,distressed,straight hem,None,cotton,None,None
20140812,corset top,glacier blue,sleeveless,corset boning,None,crew neck,ribbed finish,curved crop hem,None,organic cotton,None,None
20274006,one-shoulder long-length top,black,sleeveless,straight,one-shoulder,one-shoulder,None,straight hem,None,None,None,None
20043978,batwing-sleeve shirt,"Majolica print, white, pink",batwing sleeves,"classic collar, front button fastening",None,classic collar,None,straight hem,None,silk,None,None
20710262,T-shirt,milk white,short sleeves,embroidered logo at the chest,decorative stitching,crew neck,None,straight hem,None,cotton,None,None
20045849,shirt,multicolour,long sleeves,all-over graphic print,None,classic collar,None,straight hem,buttoned cuffs,silk,None,None
19907495,Blakely sleeveless top,white,sleeveless,"decorative button detailing, front slit, smocked panel",adjustable spaghetti straps,sweetheart neck,shirred effect,None,None,stretch organic cotton,None,None
20159135,cropped top,"multicolour, wave print",half-length sleeves,ruched detailing,None,V-neck,None,high-low hem,drawstring fastening,None,None,None
20835937,fine ribbed,black,sleeveless,cut-out detailing,None,scoop neck,None,straight hem,logo plaque,None,None,None
20044992,blouse,black,long sleeves,crystal-embellished buttons,ruched bodice,band collar,floral-lace detailing,curved hem,None,recycled polyester blend,None,None
19813583,shirt,black/multicolour,long sleeves,embroidered motif,None,straight-point collar,None,straight hem,front button fastening,organic cotton,None,None
14577866,Ribbed-knit,"White, black",Short sleeves,Black logo print at front,None,crew neck,None,Straight hem,None,cotton,None,None
20066463,cropped shirt,"['black', 'polka dot print', 'animal print']",long sleeves,belted waist,None,None,None,cropped,None,None,None,None
19948564,blouse,beige,long sleeves,"cutaway collar, knot detailing",None,None,None,None,None,None,None,None
19976059,bodysuit,"light blue, multicolour",sleeveless,cut-out detailing,None,round neck,semi-sheer,straight hem,None,tulle,None,None
17993918,hoodie,Light heather grey,long sleeves,rubberised logo,None,None,None,elasticated hem,elasticated cuffs,cotton,None,drawstring hood
20250858,T-shirt,"['cream white', 'bright red']",short sleeves,"['embroidered motif', 'logo patch to the front', 'contrasting border']",None,round neck,None,straight hem,None,cotton,None,None
15940316,long-sleeve cotton shirt,White,long sleeves,embroidered logo,None,classic collar,None,curved hem,buttoned cuffs,cotton,None,None
20255172,T-shirt,black,short sleeves,crystal embellishment,None,crew neck,jersey knit,None,None,cotton,None,None
19753273,shirt,blue/white vertical stripe,long sleeves,poplin texture,None,classic collar,None,curved hem,None,cotton,None,None
20017894,oversized,"black, signature Teddy Bear motif, logo print to the front",short sleeves,"Teddy Bear motif, logo print to the front",None,crew neck,None,straight hem,None,cotton,None,None
19908411,shirt,white,long sleeves,cut-out detailing,None,classic collar,None,None,None,cotton,None,None
20045282,tie-waist T-shirt,white,short sleeves,logo embroidery at chest,None,V-neck,None,None,None,cotton,None,None
19549029,asymmetric top,"purple, multicolour",sleeveless,"patchwork design, floral appliqué, cut-out detailing, seam detailing",crossover shoulder straps,halterneck,stretch-design,lettuce hem,adjustable spaghetti straps,None,open back,None
20033053,sweatshirt,"baby blue, optical white",long sleeves,slogan print to the front,None,crew neck,jersey fleece,straight hem,ribbed cuffs and hem,cotton,None,None
20946386,cowl-neck sleeveless top,rose red,sleeveless,"draped detailing, halterneck tie fastening, tied waist, handkerchief hem",None,cowl neck,None,handkerchief hem,None,None,open back,None
14602089,bodysuit,black,long sleeves,thong back,None,high neck,None,None,None,cotton,thong back,None
19906375,Triquetra cut-out,sunflower yellow,long sleeves,cut-out detailing,drop shoulder,V-neck,satin weave,curved hem,buttoned cuffs,silk,None,None
20177894,cardigan,black,extra-long sleeves,flared cuffs,None,V-neck,None,straight hem,front hook and eye fastening,jersey,None,None
19439846,T-shirt,Dragon fruit,short sleeves,semi-sheer construction,None,round neck,None,None,None,cotton blend,None,None
18756861,Ikonik 2.0 Choupette T-shirt,white,short sleeves,"cartoon print, logo print to the rear",None,crew neck,None,None,None,organic cotton,logo print to the rear,None
19469507,bodysuit,black,short sleeves,gathered detailing,off-shoulder,off-shoulder,stretch-design,None,None,None,None,None
17590701,second-skin top,Black/white,long sleeves,logo stamp to the front,None,crew neck,None,None,None,None,None,None
14919618,oversized,Black,long sleeves,"['printed logo', 'branded rear patch']",dropped shoulders,crew neck,None,straight hem,None,cotton,logo to the rear,None
19627446,wrapped cropped blouse,light pink,long sleeves,wrap design,None,V-neck,None,None,None,None,None,None
19906372,twist-front,apple green,None,"['twist detailing', 'gathered detailing']",None,V-neck,None,curved hem,None,silk,racerback,None
18176730,Cross Over,white,short sleeves,logo print,None,crew neck,jersey knit,straight hem,cross print,cotton,None,None
20265914,T-Claudy,brown,long sleeves,fine ribbed,None,high neck,None,straight hem,None,None,None,None
20209600,cropped top,"['cornflower blue', 'optical white', 'vertical stripe pattern']",sleeveless,crystal embellishment,None,classic collar,None,elasticated hem,None,cotton blend,None,None
18585703,cropped T-shirt,white,short sleeves,logo print at the chest,None,round neck,None,cropped,None,cotton,None,None
19594512,hoodie,pink,long raglan sleeves,embroidered logo,raglan,None,None,ribbed hem,ribbed cuffs,cotton,None,drawstring hood
19522929,shirt,dark grey,long sleeves,stud detailing,None,classic collar,dark wash,curved hem,None,cotton,None,None
17915328,panelled long-sleeve sheer bodysuit,beige,long sleeves,logo print to the front,None,round neck,semi-sheer construction,None,None,stretch-design,concealed rear zip fastening,None
20249781,sweatshirt,black,long sleeves,embroidered logo,None,crew neck,jersey fleece,straight hem,fitted-cuff sleeves,cotton,None,None
16462097,top,White/black Crescent Moon,long sleeves,two-tone design,None,round neck,None,None,None,None,None,None
18456088,T-shirt,black,short sleeves,logo print to the front,None,crew neck,None,None,None,cotton,None,None
19348290,T-shirt,navy blue,short sleeves,graphic print to the front,None,crew neck,None,straight hem,None,cotton,None,None
19481929,stretch-design,black,sleeveless,"mesh panelling, pintuck detailing, logo print",None,round neck,None,straight hem,None,None,scoop back,None
19832296,bodysuit,white,long sleeves,sheer panels,None,round neck,stretch-jersey,thong style,appliqué logo,stretch-jersey,concealed rear zip fastening,None
20046895,halterneck,white,sleeveless,wrap design,None,halterneck,None,asymmetric hem,None,linen/flax,None,None
19948562,blouse,cedar brown,long sleeves,logo charm,None,pointed flat collar,satin finish,None,None,None,open front,None
21349366,T-shirt,"black, white, red",short sleeves,"graphic print at the chest, graphic print to the rear",drop shoulder,round neck,None,straight hem,None,cotton,None,None
20006580,mesh top,multicolour,long sleeves,all-over graphic print,None,round neck,None,straight hem,None,recycled nylon blend,None,None
15688529,hoodie,black,long sleeves,logo-embroidered,None,None,None,ribbed hem,ribbed cuffs,organic cotton,None,drawstring hood
20197885,cropped,white,None,smocked panel,None,square neck,None,straight hem,None,linen,rear zip fastening,None
20113312,shirt,blue,long sleeves,"pussy-bow collar, embossed gold-tone buttons, two chest flap pockets, buttoned cuffs",None,pussy-bow collar,denim,curved hem,None,stretch-cotton,None,None
20250268,polo shirt,navy blue,short sleeves,embroidered logo,None,polo collar,None,straight hem,front button placket,cotton,None,None
20044197,shirt,"Majolica print, white, red",long sleeves,buttoned cuffs,None,classic collar,None,curved hem,None,cotton,None,None
19219775,crop top,brown,long sleeves,"ruched detailing, draped detailing",None,crew neck,None,cropped,None,None,None,None
19166657,Rhea ruffle long-sleeve blouse,"multicolour, all-over floral print","long sleeves, elasticated cuffs","ruffled detailing, drawstring waist",None,V-neck,None,straight hem,None,organic cotton,None,None
20249973,hoodie,black,long sleeves,embroidered logo to the front,None,None,None,straight hem,elasticated cuffs,cotton,None,drawstring hood
17334538,T-shirt,Black/multicolour,short sleeves,logo print to the front,None,crew neck,None,straight hem,None,cotton,None,None
20367933,blouse,"mint green, amber yellow, all-over floral print",long sleeves,pussy-bow collar,None,tied-neckline,None,straight hem,concealed front fastening,None,None,None
20045279,crop top,"Carreto-print, multicolour",short sleeves,cropped,None,round neck,None,straight hem,None,cotton,None,None
21242606,cargo-pockets,black,long sleeves,embroidered logo,None,None,silver-tone hardware,straight hem,ribbed cuffs,cotton,None,drawstring hood
19999856,T-shirt,bubblegum pink,short sleeves,crystal embellishment,None,round neck,fine ribbed,cropped,None,cotton blend,None,None
20082428,T-shirt,black,short sleeves,logo print to the front,None,round neck,None,straight hem,None,organic cotton,None,None
18033827,asymmetric,gold-tone,None,gathered detailing,None,round neck,metallic threading,None,None,None,None,None
20160417,Isidora,beige,sleeveless,rhinestone-embellished,None,high neck,crepe texture,straight hem,None,None,rear zip fastening,None
20250295,shirt,light pink,long sleeves,embroidered logo,None,None,None,curved hem,None,cotton,None,None
19657762,shirt,"['logo print', 'light pink', 'white', 'crystal embellishment', 'stripe print', 'heart print']",long sleeves,"['embellished-heart', 'chest patch pocket']",None,classic collar,None,None,None,cotton,None,None
20935049,shirt,"fuchsia pink, black, all-over floral print",long sleeves,buttoned cuffs,None,classic collar,None,curved hem,None,silk,None,None
20404680,panelled design,"bright green, multicolour",half-length sleeves,mix print,None,classic collar,satin finish,straight hem,None,silk,None,None
19659268,T-shirt,blue,long sleeves,mesh detailing,None,crew neck,None,None,None,Power Mesh,None,None
19307959,Wellness-appliqué,light beige,long sleeves,appliqué detailing,None,crew neck,jersey fleece,None,ribbed trim,cotton,logo stamp to the rear,None
20016172,mesh top,"midnight blue, beige, abstract pattern print",long sleeves,semi-sheer construction,None,mock neck,stretch-mesh,straight hem,rolled trim,recycled polyester blend,None,None
